Wk,Date,Home,Score,Away,Referee
9,2025-10-20,Eyüpspor,2–0,Kasımpaşa,Cihan Aydın
,,,,,
3,2025-10-22,Rizespor,0–0,Başakşehir,Ali Yılmaz
3,2025-10-22,Konyaspor,0–2,Beşiktaş,Ozan Ergün
,,,,,
10,2025-10-24,Fatih Karagümrük,2–2,Kayserispor,Yasin Kol
10,2025-10-25,Kocaelispor,2–0,Alanyaspor,Mehmet Türkmen
10,2025-10-25,Trabzonspor,2–0,Eyüpspor,Zorbay Küçük
10,2025-10-26,Antalyaspor,0–4,Başakşehir,Umit Öztürk
10,2025-10-26,Galatasaray,3–1,Göztepe,Oğuzhan Çakir
10,2025-10-26,Gençlerbirliği,1–2,Konyaspor,Halil Umut Meler
10,2025-10-26,Kasımpaşa,1–1,Beşiktaş,Adnan Deniz Kayatepe
10,2025-10-27,Gaziantep FK,0–4,Fenerbahçe,Atilla Karaoğlan
10,2025-10-27,Samsunspor,1–1,Rizespor,Cihan Aydın
,,,,,
11,2025-10-31,Başakşehir,1–0,Kocaelispor,Batuhan Kolak
Wk,Date,Home,Score,Away,Referee
11,2025-11-01,Göztepe,1–0,Gençlerbirliği,Yasin Kol
11,2025-11-01,Galatasaray,0–0,Trabzonspor,Cihan Aydın
11,2025-11-02,Konyaspor,1–3,Samsunspor,Ali Şansalan
11,2025-11-02,Kayserispor,3–2,Kasımpaşa,Kadir Sağlam
11,2025-11-02,Beşiktaş,2–3,Fenerbahçe,Ali Yılmaz
11,2025-11-03,Eyüpspor,0–1,Antalyaspor,Alper Akarsu
11,2025-11-03,Rizespor,1–0,Fatih Karagümrük,Ömer Tolga Güldibi
11,2025-11-03,Alanyaspor,0–0,Gaziantep FK,Oğuzhan Aksu
,,,,,
12,2025-11-07,Gençlerbirliği,2–1,Başakşehir,Direnç Tonusluoğlu
12,2025-11-08,Gaziantep FK,2–2,Rizespor,Oğuzhan Çakir
12,2025-11-08,Trabzonspor,1–1,Alanyaspor,Ali Şansalan
12,2025-11-08,Kasımpaşa,0–2,Göztepe,Ömer Tolga Güldibi
12,2025-11-08,Antalyaspor,1–3,Beşiktaş,Cihan Aydın
12,2025-11-09,Fatih Karagümrük,2–0,Konyaspor,Adnan Deniz Kayatepe
12,2025-11-09,Kocaelispor,1–0,Galatasaray,Çağdaş Altay
12,2025-11-09,Samsunspor,1–0,Eyüpspor,Yasin Kol
12,2025-11-09,Fenerbahçe,4–2,Kayserispor,Ozan Ergün
