Scores & Fixtures 2021-2022 Süper Lig,,,,,,
,,,,,,
Wk,Day,Date,Home,Score,Away,Referee
31,Sat,2022-04-02,Galatasaray,2–0,Fatih Karagümrük,Ali Şansalan
31,Sun,2022-04-03,Kasımpaşa,2–1,Gaziantep FK,Yaşar Kemal Uğurlu
31,Sun,2022-04-03,Alanyaspor,2–1,Rizespor,Halil Umut Meler
31,Sun,2022-04-03,Konyaspor,3–0,Göztepe,Erkan Özdamar
31,Sun,2022-04-03,Trabzonspor,1–1,Beşiktaş,Zorbay Küçük
31,Mon,2022-04-04,Başakşehir,1–0,Yeni Mal'spor,Sarper Barış Saka
31,Mon,2022-04-04,Hatayspor,0–0,Adana Demirspor,Mustafa Kürşad Filiz
,,,,,,
32,Sat,2022-04-09,Fatih Karagümrük,3–2,Kasımpaşa,Mustafa Kürşad Filiz
32,Sat,2022-04-09,Rizespor,2–1,Konyaspor,Ali Şansalan
32,Sat,2022-04-09,Göztepe,1–2,Kayserispor,Yaşar Kemal Uğurlu
32,Sat,2022-04-09,Gaziantep FK,0–0,Trabzonspor,Erkan Özdamar
32,Sat,2022-04-09,Beşiktaş,4–1,Alanyaspor,Volkan Bayarslan
32,Sun,2022-04-10,Yeni Mal'spor,0–1,Giresunspor,Yasin Kol
32,Sun,2022-04-10,Sivasspor,0–2,Başakşehir,Halil Umut Meler
Wk,Day,Date,Home,Score,Away,Referee
32,Sun,2022-04-10,Adana Demirspor,3–1,Altay,Arda Kardeşler
32,Sun,2022-04-10,Fenerbahçe,2–0,Galatasaray,Atilla Karaoğlan
32,Mon,2022-04-11,Antalyaspor,4–1,Hatayspor,Kadir Sağlam
,,,,,,
33,Fri,2022-04-15,Kayserispor,1–1,Rizespor,Erkan Özdamar
33,Fri,2022-04-15,Trabzonspor,1–1,Fatih Karagümrük,Halil Umut Meler
33,Sat,2022-04-16,Hatayspor,1–1,Sivasspor,Ozan Ergün
33,Sat,2022-04-16,Altay,1–1,Başakşehir,Sarper Barış Saka
33,Sat,2022-04-16,Alanyaspor,1–3,Antalyaspor,Yaşar Kemal Uğurlu
33,Sat,2022-04-16,Fenerbahçe,2–0,Göztepe,Yasin Kol
33,Sun,2022-04-17,Konyaspor,4–1,Gaziantep FK,Volkan Bayarslan
33,Sun,2022-04-17,Kasımpaşa,4–0,Adana Demirspor,Kadir Sağlam
33,Sun,2022-04-17,Giresunspor,0–0,Beşiktaş,Arda Kardeşler
33,Mon,2022-04-18,Galatasaray,2–0,Yeni Mal'spor,Mustafa Kürşad Filiz
,,,,,,
34,Fri,2022-04-22,Rizespor,0–6,Fenerbahçe,Halil Umut Meler
34,Sat,2022-04-23,Fatih Karagümrük,2–1,Giresunspor,Erkan Özdamar
34,Sat,2022-04-23,Gaziantep FK,1–1,Göztepe,Mustafa Kürşad Filiz
34,Sat,2022-04-23,Adana Demirspor,1–3,Trabzonspor,Yaşar Kemal Uğurlu
34,Sun,2022-04-24,Yeni Mal'spor,2–3,Konyaspor,Sarper Barış Saka
34,Sun,2022-04-24,Başakşehir,3–0,Hatayspor,Arda Kardeşler
34,Sun,2022-04-24,Altay,0–1,Galatasaray,Volkan Bayarslan
34,Sun,2022-04-24,Antalyaspor,1–1,Kayserispor,Cüneyt Çakιr
34,Mon,2022-04-25,Beşiktaş,0–3,Kasımpaşa,Yasin Kol
34,Mon,2022-04-25,Sivasspor,1–0,Alanyaspor,Umit Öztürk
,,,,,,
35,Fri,2022-04-29,Fenerbahçe,3–2,Gaziantep FK,Sarper Barış Saka
35,Fri,2022-04-29,Giresunspor,2–0,Adana Demirspor,Halil Umut Meler
35,Sat,2022-04-30,Kasımpaşa,2–3,Başakşehir,Alper Ulusoy
35,Sat,2022-04-30,Konyaspor,1–2,Fatih Karagümrük,Arda Kardeşler
35,Sat,2022-04-30,Hatayspor,0–1,Altay,Abdulkadir Bitigen
35,Sat,2022-04-30,Trabzonspor,2–2,Antalyaspor,Atilla Karaoğlan
35,Sun,2022-05-01,Kayserispor,2–3,Beşiktaş,Erkan Özdamar
35,Sun,2022-05-01,Alanyaspor,2–1,Yeni Mal'spor,Turgut Doman
35,Sun,2022-05-01,Galatasaray,2–3,Sivasspor,Kadir Sağlam
Wk,Day,Date,Home,Score,Away,Referee
35,Sun,2022-05-01,Göztepe,1–7,Rizespor,Volkan Bayarslan
,,,,,,
36,Fri,2022-05-06,Gaziantep FK,1–1,Kayserispor,Atilla Karaoğlan
36,Fri,2022-05-06,Hatayspor,1–1,Trabzonspor,Volkan Bayarslan
36,Sat,2022-05-07,Sivasspor,1–3,Kasımpaşa,Ali Şansalan
36,Sat,2022-05-07,Fatih Karagümrük,3–1,Göztepe,Mustafa Kürşad Filiz
36,Sat,2022-05-07,Adana Demirspor,1–2,Alanyaspor,Umit Öztürk
36,Sat,2022-05-07,Başakşehir,0–0,Galatasaray,Fırat Aydınus
36,Sun,2022-05-08,Yeni Mal'spor,1–3,Rizespor,Sarper Barış Saka
36,Sun,2022-05-08,Altay,1–1,Giresunspor,Cüneyt Çakιr
36,Sun,2022-05-08,Beşiktaş,1–1,Fenerbahçe,Arda Kardeşler
36,Mon,2022-05-09,Antalyaspor,3–2,Konyaspor,Mete Kalkavan
,,,,,,
37,Sat,2022-05-14,Kayserispor,3–0,Yeni Mal'spor,Cihan Aydın
37,Sun,2022-05-15,Trabzonspor,2–1,Altay,Kadir Sağlam
37,Sun,2022-05-15,Göztepe,0–2,Beşiktaş,Umit Öztürk
37,Sun,2022-05-15,Kasımpaşa,2–4,Antalyaspor,Mert Güzenge
37,Sun,2022-05-15,Fenerbahçe,0–0,Fatih Karagümrük,Halil Umut Meler
37,Sun,2022-05-15,Giresunspor,1–1,Başakşehir,Tugay Kaan Numanoğlu
37,Sun,2022-05-15,Alanyaspor,3–0,Gaziantep FK,Bahattin Şimşek
37,Sun,2022-05-15,Konyaspor,3–1,Hatayspor,Erkan Özdamar
37,Mon,2022-05-16,Galatasaray,3–2,Adana Demirspor,Sarper Barış Saka
37,Mon,2022-05-16,Rizespor,1–2,Sivasspor,Suat Arslanboga
,,,,,,
38,Fri,2022-05-20,Gaziantep FK,2–0,Rizespor,Emre Kargın
38,Fri,2022-05-20,Antalyaspor,1–1,Galatasaray,Yasin Kol
38,Sat,2022-05-21,Sivasspor,2–1,Kayserispor,Yaşar Kemal Uğurlu
38,Sat,2022-05-21,Altay,2–4,Kasımpaşa,Çağdaş Altay
38,Sat,2022-05-21,Yeni Mal'spor,0–5,Fenerbahçe,Volkan Bayarslan
38,Sat,2022-05-21,Beşiktaş,1–1,Konyaspor,Sarper Barış Saka
38,Sun,2022-05-22,Fatih Karagümrük,0–1,Alanyaspor,Fırat Aydınus
38,Sun,2022-05-22,Başakşehir,3–1,Trabzonspor,Atilla Karaoğlan
38,Sun,2022-05-22,Adana Demirspor,7–0,Göztepe,Adem Cinek
38,Sun,2022-05-22,Hatayspor,4–1,Giresunspor,Ali Palabıyık
