Wk,Date,Time,Home,Score,Away,Referee
8,2023-10-07,13:30,Pendikspor,2–3,Sivasspor,Turgut Doman
8,2023-10-07,16:00,Ankaragücü,3–0,Kayserispor,Mert Güzenge
8,2023-10-07,19:00,Başakşehir,2–0,Gaziantep FK,Sarper Barış Saka
8,2023-10-07,19:00,Antalyaspor,0–2,Galatasaray,Zorbay Küçük
8,2023-10-08,13:30,Rizespor,1–0,Samsunspor,Abdulkadir Bitigen
8,2023-10-08,16:00,Beşiktaş,2–0,İstanbulspor,Tugay Kaan Numanoğlu
8,2023-10-08,19:00,Kasımpaşa,0–2,Fenerbahçe,Mete Kalkavan
8,2023-10-08,19:00,Hatayspor,3–1,Konyaspor,Umit Öztürk
,,,,,,
9,2023-10-21,13:30,Kayserispor,3–1,Rizespor,Burak Şeker
9,2023-10-21,16:00,Gaziantep FK,1–0,Antalyaspor,Atilla Karaoğlan
9,2023-10-21,16:00,Konyaspor,1–2,Pendikspor,Çağdaş Altay
9,2023-10-21,19:00,Galatasaray,2–1,Beşiktaş,Halil Umut Meler
9,2023-10-22,13:30,Sivasspor,0–1,Kasımpaşa,Yaşar Kemal Uğurlu
9,2023-10-22,16:00,İstanbulspor,2–1,Ankaragücü,Yiğit Arslan
9,2023-10-22,19:00,Fenerbahçe,4–2,Hatayspor,Volkan Bayarslan
9,2023-10-22,19:00,Samsunspor,0–0,Başakşehir,Murat Erdoğan
9,2023-10-23,20:00,Trabzonspor,1–0,Alanyaspor,Arda Kardeşler
9,2023-10-23,20:00,Fatih Karagümrük,2–0,Adana Demirspor,Bahattin Şimşek
,,,,,,
10,2023-10-27,20:00,Kasımpaşa,3–1,İstanbulspor,Erkan Özdamar
10,2023-10-27,20:00,Hatayspor,1–2,Kayserispor,Sarper Barış Saka
10,2023-10-28,16:00,Alanyaspor,1–2,Sivasspor,Mert Güzenge
10,2023-10-28,19:00,Rizespor,0–1,Galatasaray,Kadir Sağlam
10,2023-10-28,19:00,Adana Demirspor,3–0,Konyaspor,Turgut Doman
10,2023-10-29,16:00,Fatih Karagümrük,0–0,Trabzonspor,Ali Şansalan
Wk,Date,Time,Home,Score,Away,Referee
10,2023-10-29,19:00,Antalyaspor,1–0,Başakşehir,Umit Öztürk
10,2023-10-29,19:00,Ankaragücü,2–0,Samsunspor,Cihan Aydın
10,2023-10-29,19:00,Pendikspor,0–5,Fenerbahçe,Abdulkadir Bitigen
10,2023-10-30,20:00,Beşiktaş,2–0,Gaziantep FK,Mete Kalkavan
,,,,,,
11,2023-11-03,20:00,Galatasaray,2–1,Kasımpaşa,Arda Kardeşler
11,2023-11-04,13:30,İstanbulspor,2–4,Pendikspor,Murat Erdoğan
11,2023-11-04,16:00,Samsunspor,2–1,Hatayspor,Halil Umut Meler
11,2023-11-04,19:00,Fenerbahçe,2–3,Trabzonspor,Zorbay Küçük
11,2023-11-05,13:30,Sivasspor,1–1,Adana Demirspor,Burak Pakkan
11,2023-11-05,16:00,Konyaspor,1–1,Fatih Karagümrük,Mert Güzenge
11,2023-11-05,16:00,Başakşehir,3–3,Ankaragücü,Çağdaş Altay
11,2023-11-05,19:00,Antalyaspor,3–2,Beşiktaş,Yaşar Kemal Uğurlu
11,2023-11-06,20:00,Kayserispor,1–0,Alanyaspor,Tugay Kaan Numanoğlu
11,2023-11-06,20:00,Gaziantep FK,2–0,Rizespor,Ali Şansalan
,,,,,,
4,2023-11-08,20:00,Samsunspor,2–1,İstanbulspor,Burak Şeker
,,,,,,
12,2023-11-10,20:00,Trabzonspor,2–1,Konyaspor,Cihan Aydın
12,2023-11-10,20:00,Ankaragücü,0–4,Antalyaspor,Direnç Tonusluoğlu
12,2023-11-11,13:30,Kasımpaşa,3–4,Kayserispor,Çağdaş Altay
12,2023-11-11,16:00,Fatih Karagümrük,3–0,Sivasspor,Murat Erdoğan
12,2023-11-11,16:00,Alanyaspor,0–3,Gaziantep FK,Turgut Doman
12,2023-11-11,19:00,Hatayspor,2–1,Galatasaray,Bahattin Şimşek
12,2023-11-12,13:30,Pendikspor,1–0,Samsunspor,Burak Pakkan
12,2023-11-12,16:00,Beşiktaş,1–0,Başakşehir,Arda Kardeşler
