Wk,Date,Time,Home,Score,Away,Referee
32,2024-04-13,13:30,Kasımpaşa,0–2,Konyaspor,Zorbay Küçük
32,2024-04-13,16:00,Ankaragücü,3–1,Gaziantep FK,Ali Şansalan
32,2024-04-13,19:00,Adana Demirspor,0–0,Kayserispor,Mehmet Türkmen
32,2024-04-13,19:00,Beşiktaş,1–1,Samsunspor,Direnç Tonusluoğlu
32,2024-04-14,13:30,Pendikspor,2–3,Başakşehir,Halil Umut Meler
32,2024-04-14,16:00,Hatayspor,0–3,İstanbulspor,Mert Güzenge
Wk,Date,Time,Home,Score,Away,Referee
32,2024-04-14,16:00,Rizespor,3–0,Antalyaspor,Emre Kargın
32,2024-04-14,19:00,Fatih Karagümrük,1–2,Fenerbahçe,Tugay Kaan Numanoğlu
32,2024-04-15,20:00,Alanyaspor,0–4,Galatasaray,Cihan Aydın
,,,,,,
33,2024-04-19,20:00,Beşiktaş,2–0,Ankaragücü,Bahattin Şimşek
33,2024-04-20,13:30,İstanbulspor,1–2,Fatih Karagümrük,Burak Şeker
33,2024-04-20,16:00,Konyaspor,0–2,Alanyaspor,Oğuzhan Çakir
33,2024-04-20,19:00,Samsunspor,1–1,Adana Demirspor,Murat Erdoğan
33,2024-04-20,19:00,Kayserispor,1–2,Trabzonspor,Çağdaş Altay
33,2024-04-21,13:30,Başakşehir,2–0,Rizespor,Arda Kardeşler
33,2024-04-21,19:00,Galatasaray,4–1,Pendikspor,Direnç Tonusluoğlu
33,2024-04-21,19:00,Gaziantep FK,2–0,Kasımpaşa,Kadir Sağlam
33,2024-04-21,19:00,Antalyaspor,2–1,Hatayspor,Abdulkadir Bitigen
33,2024-04-22,20:00,Sivasspor,2–2,Fenerbahçe,Cihan Aydın
,,,,,,
34,2024-04-26,20:00,Adana Demirspor,0–3,Galatasaray,Bahattin Şimşek
34,2024-04-27,16:00,Sivasspor,1–0,Konyaspor,Murat Erdoğan
34,2024-04-27,16:00,Kasımpaşa,1–0,Samsunspor,Halil Umut Meler
34,2024-04-27,19:00,Hatayspor,1–2,Başakşehir,Atilla Karaoğlan
34,2024-04-27,19:00,Fenerbahçe,2–1,Beşiktaş,Volkan Bayarslan
34,2024-04-28,16:00,Alanyaspor,6–0,İstanbulspor,Muhammetali Metoğlu
34,2024-04-28,16:00,Pendikspor,1–2,Kayserispor,Zorbay Küçük
34,2024-04-28,19:00,Trabzonspor,4–2,Gaziantep FK,Direnç Tonusluoğlu
34,2024-04-28,19:00,Rizespor,2–2,Ankaragücü,Turgut Doman
34,2024-04-29,20:00,Fatih Karagümrük,4–1,Antalyaspor,Kadir Sağlam
,,,,,,
35,2024-05-03,20:00,Beşiktaş,3–2,Rizespor,Ali Şansalan
35,2024-05-03,20:00,Ankaragücü,1–1,Alanyaspor,Emre Kargın
35,2024-05-04,16:00,İstanbulspor,0–1,Adana Demirspor,Abdullah Taşkınsoy
35,2024-05-04,19:00,Kayserispor,2–2,Fatih Karagümrük,Atilla Karaoğlan
35,2024-05-04,19:00,Samsunspor,3–1,Trabzonspor,Abdulkadir Bitigen
35,2024-05-05,16:00,Başakşehir,4–1,Kasımpaşa,Mert Güzenge
35,2024-05-05,19:00,Galatasaray,6–1,Sivasspor,Arda Kardeşler
35,2024-05-05,19:00,Gaziantep FK,1–1,Hatayspor,Halil Umut Meler
35,2024-05-06,20:00,Antalyaspor,1–2,Pendikspor,Tugay Kaan Numanoğlu
Wk,Date,Time,Home,Score,Away,Referee
35,2024-05-06,20:00,Konyaspor,0–0,Fenerbahçe,Bahattin Şimşek
,,,,,,
36,2024-05-12,19:00,Alanyaspor,1–1,Beşiktaş,Tugay Kaan Numanoğlu
36,2024-05-12,19:00,Trabzonspor,3–0,İstanbulspor,Emre Kargın
36,2024-05-12,19:00,Konyaspor,3–0,Samsunspor,Kadir Sağlam
36,2024-05-12,19:00,Fenerbahçe,3–0,Kayserispor,Direnç Tonusluoğlu
36,2024-05-12,19:00,Pendikspor,2–1,Rizespor,Atilla Karaoğlan
36,2024-05-12,19:00,Kasımpaşa,3–1,Antalyaspor,Oğuzhan Çakir
36,2024-05-12,19:00,Hatayspor,2–1,Ankaragücü,Ali Şansalan
36,2024-05-12,19:00,Sivasspor,0–1,Başakşehir,Bahattin Şimşek
36,2024-05-12,19:00,Fatih Karagümrük,2–3,Galatasaray,Volkan Bayarslan
36,2024-05-12,19:00,Adana Demirspor,1–6,Gaziantep FK,Abdulkadir Bitigen
,,,,,,
37,2024-05-17,17:00,İstanbulspor,1–3,Sivasspor,Ömer Faruk Turtay
37,2024-05-17,20:00,Antalyaspor,2–1,Adana Demirspor,Turgut Doman
37,2024-05-18,19:00,Beşiktaş,2–2,Hatayspor,Cihan Aydın
37,2024-05-18,19:00,Kayserispor,2–2,Konyaspor,Halil Umut Meler
37,2024-05-18,19:00,Ankaragücü,0–0,Pendikspor,Volkan Bayarslan
37,2024-05-18,19:00,Samsunspor,1–1,Alanyaspor,Mert Güzenge
37,2024-05-18,19:00,Gaziantep FK,3–1,Fatih Karagümrük,Zorbay Küçük
37,2024-05-18,19:00,Rizespor,0–0,Kasımpaşa,Burak Pakkan
37,2024-05-18,19:00,Başakşehir,0–1,Trabzonspor,Tugay Kaan Numanoğlu
37,2024-05-19,19:00,Galatasaray,0–1,Fenerbahçe,Arda Kardeşler
,,,,,,
38,2024-05-24,20:00,Alanyaspor,1–1,Antalyaspor,Halil Umut Meler
38,2024-05-25,16:00,Fatih Karagümrük,3–1,Samsunspor,Mehmet Türkmen
38,2024-05-25,19:00,Sivasspor,2–1,Kayserispor,Murat Erdoğan
38,2024-05-26,19:00,Hatayspor,2–0,Rizespor,Abdulkadir Bitigen
38,2024-05-26,19:00,Konyaspor,1–3,Galatasaray,Tugay Kaan Numanoğlu
38,2024-05-26,19:00,Adana Demirspor,2–6,Başakşehir,Burak Şeker
38,2024-05-26,19:00,Fenerbahçe,6–0,İstanbulspor,Volkan Bayarslan
38,2024-05-26,19:00,Kasımpaşa,2–1,Beşiktaş,Bahattin Şimşek
38,2024-05-26,19:00,Trabzonspor,4–2,Ankaragücü,Atilla Karaoğlan
38,2024-05-26,19:00,Pendikspor,0–1,Gaziantep FK,Direnç Tonusluoğlu
