Wk,Date,Home,Score,Away,Referee
1,2022-08-05,İstanbulspor,0–2,Trabzonspor,Arda Kardeşler
1,2022-08-06,Sivasspor,1–1,Gaziantep FK,Ali Şansalan
1,2022-08-06,Beşiktaş,1–0,Kayserispor,Umit Öztürk
1,2022-08-07,Fatih Karagümrük,2–4,Alanyaspor,Zorbay Küçük
1,2022-08-07,Giresunspor,2–3,Adana Demirspor,Volkan Bayarslan
1,2022-08-07,Antalyaspor,0–1,Galatasaray,Atilla Karaoğlan
1,2022-08-08,Başakşehir,4–0,Kasımpaşa,Ali Palabıyık
1,2022-08-08,Ankaragücü,0–0,Konyaspor,Bahattin Şimşek
1,2022-08-08,Fenerbahçe,3–3,Ümraniyespor,Yaşar Kemal Uğurlu
,,,,,
2,2022-08-12,Trabzonspor,1–0,Hatayspor,Abdulkadir Bitigen
2,2022-08-13,Kayserispor,1–0,İstanbulspor,Suat Arslanboga
2,2022-08-13,Adana Demirspor,3–0,Sivasspor,Mert Güzenge
2,2022-08-13,Galatasaray,0–1,Giresunspor,Kadir Sağlam
2,2022-08-14,Gaziantep FK,1–0,Ankaragücü,Mustafa Kürşad Filiz
2,2022-08-14,Ümraniyespor,0–1,Antalyaspor,Çağdaş Altay
2,2022-08-14,Alanyaspor,3–3,Beşiktaş,Yasin Kol
2,2022-08-15,Konyaspor,0–0,Başakşehir,Sarper Barış Saka
2,2022-08-15,Kasımpaşa,0–6,Fenerbahçe,Mete Kalkavan
,,,,,
3,2022-08-19,Ümraniyespor,0–1,Galatasaray,Ali Şansalan
3,2022-08-20,Giresunspor,1–0,Kasımpaşa,Bahattin Şimşek
3,2022-08-20,Hatayspor,1–2,Gaziantep FK,Atilla Karaoğlan
3,2022-08-20,Antalyaspor,5–2,Trabzonspor,Volkan Bayarslan
3,2022-08-21,Başakşehir,2–0,Kayserispor,Yaşar Kemal Uğurlu
3,2022-08-21,Beşiktaş,4–1,Fatih Karagümrük,Arda Kardeşler
3,2022-08-22,Sivasspor,1–1,Alanyaspor,Umit Öztürk
3,2022-08-22,İstanbulspor,0–4,Konyaspor,Burak Şeker
3,2022-08-22,Fenerbahçe,4–2,Adana Demirspor,Abdulkadir Bitigen
,,,,,
4,2022-08-26,Gaziantep FK,5–2,Antalyaspor,Suat Arslanboga
4,2022-08-27,Fatih Karagümrük,4–1,Ankaragücü,Çağdaş Altay
4,2022-08-27,Alanyaspor,0–1,İstanbulspor,Mustafa Kürşad Filiz
4,2022-08-27,Adana Demirspor,1–0,Ümraniyespor,Kadir Sağlam
4,2022-08-28,Kayserispor,3–0,Giresunspor,Sarper Barış Saka
Wk,Date,Home,Score,Away,Referee
4,2022-08-28,Kasımpaşa,1–0,Hatayspor,Mert Güzenge
4,2022-08-28,Trabzonspor,0–0,Galatasaray,Ali Palabıyık
4,2022-08-29,Konyaspor,1–0,Fenerbahçe,Arda Kardeşler
4,2022-08-29,Beşiktaş,3–1,Sivasspor,Volkan Bayarslan
,,,,,
5,2022-09-02,Ümraniyespor,0–1,Trabzonspor,Arda Kardeşler
5,2022-09-03,Sivasspor,0–0,Fatih Karagümrük,Yasin Kol
5,2022-09-03,Başakşehir,2–0,Alanyaspor,Ali Şansalan
5,2022-09-03,Fenerbahçe,2–0,Kayserispor,Ali Palabıyık
5,2022-09-03,Giresunspor,0–1,Konyaspor,Zorbay Küçük
5,2022-09-04,Hatayspor,1–1,Adana Demirspor,Burak Şeker
5,2022-09-04,Ankaragücü,2–3,Beşiktaş,Mete Kalkavan
5,2022-09-04,Antalyaspor,0–2,Kasımpaşa,Kadir Sağlam
5,2022-09-05,Galatasaray,2–1,Gaziantep FK,Yaşar Kemal Uğurlu
,,,,,
6,2022-09-09,Alanyaspor,2–1,Ankaragücü,Mert Güzenge
6,2022-09-10,Konyaspor,1–0,Hatayspor,Tugay Kaan Numanoğlu
6,2022-09-10,Fatih Karagümrük,1–1,Giresunspor,Erkan Özdamar
6,2022-09-11,Sivasspor,1–1,İstanbulspor,Hüseyin Göçek
6,2022-09-11,Kayserispor,1–0,Antalyaspor,Bahattin Şimşek
6,2022-09-11,Kasımpaşa,2–3,Galatasaray,Volkan Bayarslan
6,2022-09-11,Gaziantep FK,1–1,Ümraniyespor,Umit Öztürk
6,2022-09-12,Beşiktaş,0–1,Başakşehir,Halil Umut Meler
6,2022-09-12,Adana Demirspor,3–2,Trabzonspor,Atilla Karaoğlan
,,,,,
7,2022-09-16,Hatayspor,0–4,Kayserispor,Çağdaş Altay
7,2022-09-16,Galatasaray,2–1,Konyaspor,Abdulkadir Bitigen
7,2022-09-17,Ümraniyespor,1–2,Kasımpaşa,Suat Arslanboga
7,2022-09-17,Antalyaspor,0–3,Adana Demirspor,Ali Palabıyık
7,2022-09-17,İstanbulspor,2–2,Beşiktaş,Zorbay Küçük
7,2022-09-18,Başakşehir,0–0,Fatih Karagümrük,Bahattin Şimşek
7,2022-09-18,Trabzonspor,3–2,Gaziantep FK,Mete Kalkavan
7,2022-09-18,Fenerbahçe,5–0,Alanyaspor,Hüseyin Göçek
7,2022-09-18,Ankaragücü,2–1,Sivasspor,Sarper Barış Saka
,,,,,
Wk,Date,Home,Score,Away,Referee
8,2022-10-01,Kasımpaşa,1–0,Gaziantep FK,Zorbay Küçük
8,2022-10-01,Kayserispor,1–2,Trabzonspor,Umit Öztürk
8,2022-10-01,Ankaragücü,1–2,Başakşehir,Arda Kardeşler
8,2022-10-01,Adana Demirspor,0–0,Galatasaray,Halil Umut Meler
8,2022-10-02,Alanyaspor,1–1,Giresunspor,Tugay Kaan Numanoğlu
