Wk,Date,Home,Score,Away,Referee
15,2024-12-07,Beşiktaş,1–0,Fenerbahçe,Mehmet Türkmen
15,2024-12-08,Eyüpspor,3–0,Samsunspor,Atilla Karaoğlan
15,2024-12-08,Kayserispor,2–0,Alanyaspor,Ozan Ergün
15,2024-12-08,Sivasspor,2–3,Galatasaray,Turgut Doman
15,2024-12-08,Başakşehir,3–0,Hatayspor,Emre Kargın
15,2024-12-09,Gaziantep FK,1–0,Rizespor,Direnç Tonusluoğlu
,,,,,
16,2024-12-13,BB Bodrumspor,2–0,Sivasspor,Cihan Aydın
16,2024-12-13,Kasımpaşa,2–0,Eyüpspor,Halil Umut Meler
16,2024-12-14,Rizespor,1–1,Konyaspor,Alper Akarsu
16,2024-12-14,Alanyaspor,3–0,Gaziantep FK,Emre Kargın
16,2024-12-15,Hatayspor,1–1,Göztepe,Atilla Karaoğlan
16,2024-12-15,Antalyaspor,2–0,Kayserispor,Ali Şansalan
16,2024-12-15,Fenerbahçe,3–1,Başakşehir,Ozan Ergün
16,2024-12-16,Adana Demirspor,2–1,Beşiktaş,Oğuzhan Çakir
16,2024-12-16,Galatasaray,4–3,Trabzonspor,Kadir Sağlam
,,,,,
17,2024-12-20,Eyüpspor,1–1,Fenerbahçe,Emre Kargın
17,2024-12-21,Sivasspor,0–0,Samsunspor,Ali Şansalan
17,2024-12-21,Beşiktaş,1–1,Alanyaspor,Cihan Aydın
17,2024-12-22,Gaziantep FK,2–0,Antalyaspor,Oğuzhan Çakir
17,2024-12-22,Kayserispor,1–5,Galatasaray,Mehmet Türkmen
17,2024-12-22,Göztepe,3–0,Rizespor,Zorbay Küçük
17,2024-12-22,Trabzonspor,1–0,BB Bodrumspor,Ozan Ergün
17,2024-12-23,Hatayspor,1–3,Adana Demirspor,Direnç Tonusluoğlu
17,2024-12-23,Başakşehir,2–2,Kasımpaşa,Alper Akarsu
,,,,,
18,2025-01-03,Alanyaspor,2–1,Konyaspor,Zorbay Küçük
18,2025-01-03,Rizespor,1–1,Beşiktaş,Ozan Ergün
18,2025-01-04,Adana Demirspor,0–1,Başakşehir,Erkan Özdamar
18,2025-01-04,Antalyaspor,1–4,Eyüpspor,Muhammetali Metoğlu
Wk,Date,Home,Score,Away,Referee
18,2025-01-04,Galatasaray,2–1,Göztepe,Alper Akarsu
18,2025-01-04,Samsunspor,2–1,Trabzonspor,Mehmet Türkmen
18,2025-01-05,Kasımpaşa,2–2,Gaziantep FK,Cihan Aydın
18,2025-01-05,BB Bodrumspor,1–1,Kayserispor,Yasin Kol
18,2025-01-05,Fenerbahçe,2–1,Hatayspor,Oğuzhan Çakir
,,,,,
19,2025-01-11,Kayserispor,0–1,Samsunspor,Zorbay Küçük
19,2025-01-11,Hatayspor,1–2,Rizespor,Erkan Özdamar
19,2025-01-11,Beşiktaş,2–1,BB Bodrumspor,Mehmet Türkmen
19,2025-01-12,Sivasspor,1–1,Alanyaspor,Muhammetali Metoğlu
19,2025-01-12,Trabzonspor,5–0,Antalyaspor,Cihan Aydın
19,2025-01-12,Gaziantep FK,1–0,Adana Demirspor,Ozan Ergün
19,2025-01-12,Başakşehir,1–2,Galatasaray,Atilla Karaoğlan
19,2025-01-13,Konyaspor,2–3,Fenerbahçe,Direnç Tonusluoğlu
19,2025-01-13,Göztepe,5–0,Kasımpaşa,Umit Öztürk
,,,,,
20,2025-01-17,Hatayspor,1–1,Galatasaray,Cihan Aydın
20,2025-01-18,Başakşehir,2–0,Rizespor,Oğuzhan Çakir
20,2025-01-18,Gaziantep FK,0–0,BB Bodrumspor,Muhammetali Metoğlu
20,2025-01-18,Beşiktaş,0–0,Samsunspor,Kadir Sağlam
20,2025-01-19,Göztepe,1–0,Antalyaspor,Çağdaş Altay
20,2025-01-19,Konyaspor,3–3,Kasımpaşa,Burak Pakkan
20,2025-01-19,Adana Demirspor,0–4,Fenerbahçe,Halil Umut Meler
20,2025-01-19,Eyüpspor,3–0,Alanyaspor,Yasin Kol
20,2025-01-20,Trabzonspor,4–0,Sivasspor,Zorbay Küçük
,,,,,
21,2025-01-24,Samsunspor,2–1,Gaziantep FK,Umit Öztürk
21,2025-01-25,Sivasspor,5–2,Kayserispor,Burak Pakkan
21,2025-01-25,Alanyaspor,5–4,Başakşehir,Emre Kargın
21,2025-01-25,Galatasaray,1–0,Konyaspor,Halil Umut Meler
21,2025-01-26,Rizespor,3–2,Adana Demirspor,Çağdaş Altay
21,2025-01-26,Antalyaspor,1–1,Beşiktaş,Oğuzhan Çakir
21,2025-01-26,BB Bodrumspor,0–1,Eyüpspor,Ozan Ergün
21,2025-01-26,Fenerbahçe,3–2,Göztepe,Atilla Karaoğlan
21,2025-01-27,Kasımpaşa,5–4,Hatayspor,Muhammetali Metoğlu
Wk,Date,Home,Score,Away,Referee
,,,,,
22,2025-01-31,Konyaspor,3–1,BB Bodrumspor,Umit Öztürk
22,2025-01-31,Eyüpspor,1–0,Sivasspor,Atilla Karaoğlan
22,2025-02-01,Hatayspor,2–3,Antalyaspor,Direnç Tonusluoğlu
22,2025-02-01,Kayserispor,0–0,Trabzonspor,Ali Şansalan
22,2025-02-01,Başakşehir,4–0,Samsunspor,Çağdaş Altay
22,2025-02-02,Adana Demirspor,3–5,Kasımpaşa,Yasin Kol
22,2025-02-02,Göztepe,0–1,Alanyaspor,Arda Kardeşler
22,2025-02-02,Fenerbahçe,3–2,Rizespor,Burak Pakkan
22,2025-02-03,Gaziantep FK,0–1,Galatasaray,Kadir Sağlam
,,,,,
23,2025-02-07,Samsunspor,2–0,Hatayspor,Alper Akarsu
23,2025-02-08,Kayserispor,3–2,Konyaspor,Çağdaş Altay
23,2025-02-08,Sivasspor,0–2,Beşiktaş,Ali Şansalan
23,2025-02-09,Kasımpaşa,3–2,Rizespor,Ozan Ergün
23,2025-02-09,Alanyaspor,0–2,Fenerbahçe,Cihan Aydın
23,2025-02-09,Antalyaspor,0–0,Başakşehir,Zorbay Küçük
23,2025-02-09,Galatasaray,3–0,Adana Demirspor,Oğuzhan Çakir
23,2025-02-10,Trabzonspor,1–0,Eyüpspor,Mehmet Türkmen
23,2025-02-10,BB Bodrumspor,0–0,Göztepe,Yasin Kol
,,,,,
24,2025-02-14,Adana Demirspor,1–1,Antalyaspor,Kadir Sağlam
24,2025-02-15,Gaziantep FK,2–1,Sivasspor,Ozan Ergün
24,2025-02-15,Başakşehir,0–1,BB Bodrumspor,Halil Umut Meler
24,2025-02-15,Beşiktaş,2–1,Trabzonspor,Cihan Aydın
24,2025-02-16,Hatayspor,1–0,Alanyaspor,Adnan Deniz Kayatepe
24,2025-02-16,Konyaspor,0–1,Samsunspor,Yasin Kol
24,2025-02-16,Eyüpspor,1–1,Kayserispor,Direnç Tonusluoğlu
24,2025-02-16,Fenerbahçe,3–1,Kasımpaşa,Ali Şansalan
24,2025-02-17,Rizespor,1–2,Galatasaray,Zorbay Küçük
,,,,,
25,2025-02-21,Eyüpspor,1–3,Beşiktaş,Muhammetali Metoğlu
25,2025-02-21,BB Bodrumspor,1–0,Hatayspor,Ali Şansalan
25,2025-02-22,Sivasspor,1–1,Konyaspor,Zorbay Küçük
25,2025-02-22,Antalyaspor,2–1,Kasımpaşa,Adnan Deniz Kayatepe
Wk,Date,Home,Score,Away,Referee
25,2025-02-22,Samsunspor,2–3,Rizespor,Halil Umut Meler
25,2025-02-23,Kayserispor,1–0,Göztepe,Cihan Aydın
25,2025-02-23,Alanyaspor,3–2,Adana Demirspor,Ozan Ergün
25,2025-02-23,Trabzonspor,3–2,Gaziantep FK,Atilla Karaoğlan
25,2025-02-24,Galatasaray,0–0,Fenerbahçe,Slavko Vinčič
,,,,,
26,2025-03-01,Adana Demirspor,0–0,BB Bodrumspor,Çağdaş Altay
26,2025-03-01,Beşiktaş,2–0,Kayserispor,Halil Umut Meler
26,2025-03-02,Rizespor,3–1,Alanyaspor,Ali Şansalan
26,2025-03-02,Kasımpaşa,3–3,Galatasaray,Cihan Aydın
26,2025-03-02,Fenerbahçe,3–0,Antalyaspor,Mehmet Türkmen
26,2025-03-03,Konyaspor,1–0,Trabzonspor,Ozan Ergün
26,2025-03-03,Gaziantep FK,3–1,Eyüpspor,Alper Akarsu
26,2025-03-03,Göztepe,2–2,Samsunspor,Oğuzhan Çakir
26,2025-03-03,Başakşehir,1–0,Sivasspor,Muhammetali Metoğlu
,,,,,
27,2025-03-07,BB Bodrumspor,1–0,Kasımpaşa,Mehmet Türkmen
27,2025-03-08,Kayserispor,3–1,Başakşehir,Ali Şansalan
27,2025-03-08,Antalyaspor,2–1,Rizespor,Cihan Aydın
27,2025-03-08,Trabzonspor,1–2,Hatayspor,Alper Akarsu
27,2025-03-09,Sivasspor,3–1,Göztepe,Burak Pakkan
27,2025-03-09,Samsunspor,3–2,Adana Demirspor,Arda Kardeşler
27,2025-03-09,Eyüpspor,2–1,Konyaspor,Atilla Karaoğlan
27,2025-03-09,Alanyaspor,1–2,Galatasaray,Yasin Kol
27,2025-03-10,Beşiktaş,1–2,Gaziantep FK,Zorbay Küçük
,,,,,
28,2025-03-14,Galatasaray,4–0,Antalyaspor,Ozan Ergün
28,2025-03-15,Gaziantep FK,1–0,Kayserispor,Arda Kardeşler
28,2025-03-15,Kasımpaşa,2–1,Alanyaspor,Halil Umut Meler
28,2025-03-15,Başakşehir,0–3,Trabzonspor,Mehmet Türkmen
28,2025-03-15,Konyaspor,1–0,Beşiktaş,Ali Şansalan
28,2025-03-16,Rizespor,0–2,BB Bodrumspor,Kadir Sağlam
28,2025-03-16,Göztepe,1–1,Eyüpspor,Yasin Kol
28,2025-03-16,Hatayspor,3–2,Sivasspor,Çağdaş Altay
28,2025-03-16,Fenerbahçe,0–0,Samsunspor,Cihan Aydın
Wk,Date,Home,Score,Away,Referee
,,,,,
29,2025-03-28,Antalyaspor,2–1,Alanyaspor,Burak Pakkan
29,2025-03-28,Kayserispor,5–0,Hatayspor,Batuhan Kolak
29,2025-03-28,Konyaspor,1–0,Gaziantep FK,Oğuzhan Çakir
29,2025-03-28,BB Bodrumspor,2–4,Fenerbahçe,Atilla Karaoğlan
29,2025-03-29,Sivasspor,5–1,Adana Demirspor,Ozan Ergün
29,2025-03-29,Samsunspor,0–2,Kasımpaşa,Zorbay Küçük
29,2025-03-29,Trabzonspor,1–1,Göztepe,Ali Şansalan
29,2025-03-29,Beşiktaş,2–1,Galatasaray,Yasin Kol
29,2025-03-31,Eyüpspor,1–3,Başakşehir,Arda Kardeşler
,,,,,
30,2025-04-04,Adana Demirspor,0–2,Kayserispor,Direnç Tonusluoğlu
30,2025-04-05,Rizespor,1–1,Sivasspor,Oğuzhan Çakir
30,2025-04-05,Başakşehir,1–0,Konyaspor,Çağdaş Altay
30,2025-04-05,Antalyaspor,2–1,Samsunspor,Umit Öztürk
30,2025-04-06,Alanyaspor,0–1,BB Bodrumspor,Arda Kardeşler
30,2025-04-06,Hatayspor,0–1,Eyüpspor,Burak Pakkan
30,2025-04-06,Fenerbahçe,4–1,Trabzonspor,Mehmet Türkmen
30,2025-04-07,Göztepe,1–1,Gaziantep FK,Adnan Deniz Kayatepe
30,2025-04-07,Kasımpaşa,1–1,Beşiktaş,Kadir Sağlam
,,,,,
31,2025-04-11,Samsunspor,0–2,Galatasaray,Ozan Ergün
31,2025-04-12,Konyaspor,1–0,Göztepe,Umit Öztürk
31,2025-04-12,BB Bodrumspor,0–0,Antalyaspor,Direnç Tonusluoğlu
31,2025-04-12,Beşiktaş,0–2,Başakşehir,Cihan Aydın
31,2025-04-13,Gaziantep FK,2–1,Hatayspor,Ali Şansalan
31,2025-04-13,Kayserispor,1–0,Kasımpaşa,Abdullah Taşkınsoy
31,2025-04-13,Trabzonspor,2–0,Rizespor,Çağdaş Altay
31,2025-04-13,Sivasspor,1–3,Fenerbahçe,Yasin Kol
31,2025-04-14,Eyüpspor,6–0,Adana Demirspor,Alper Akarsu
,,,,,
32,2025-04-18,Hatayspor,2–3,Konyaspor,Halil Umut Meler
32,2025-04-18,Galatasaray,2–0,BB Bodrumspor,Mehmet Türkmen
32,2025-04-19,Kasımpaşa,3–1,Sivasspor,Ali Şansalan
32,2025-04-19,Adana Demirspor,0–1,Trabzonspor,Abdullah Taşkınsoy
Wk,Date,Home,Score,Away,Referee
32,2025-04-19,Göztepe,1–1,Beşiktaş,Ozan Ergün
32,2025-04-20,Başakşehir,2–1,Gaziantep FK,Zorbay Küçük
32,2025-04-20,Rizespor,1–0,Eyüpspor,Umit Öztürk
32,2025-04-20,Fenerbahçe,3–3,Kayserispor,Oğuzhan Çakir
32,2025-04-21,Alanyaspor,1–0,Samsunspor,Atilla Karaoğlan
,,,,,
33,2025-04-25,Beşiktaş,5–1,Hatayspor,Adnan Deniz Kayatepe
33,2025-04-26,Sivasspor,2–0,Antalyaspor,Burak Pakkan
33,2025-04-26,BB Bodrumspor,1–2,Samsunspor,Yasin Kol
33,2025-04-26,Gaziantep FK,1–3,Fenerbahçe,Direnç Tonusluoğlu
33,2025-04-27,Konyaspor,3–1,Adana Demirspor,Arda Kardeşler
33,2025-04-27,Trabzonspor,4–3,Alanyaspor,Ali Şansalan
33,2025-04-27,Eyüpspor,1–5,Galatasaray,Çağdaş Altay
33,2025-04-27,Kayserispor,1–0,Rizespor,Atilla Karaoğlan
33,2025-04-28,Göztepe,4–1,Başakşehir,Kadir Sağlam
,,,,,
34,2025-05-02,Antalyaspor,1–0,Konyaspor,Cihan Aydın
34,2025-05-03,Alanyaspor,1–1,Kayserispor,Umit Öztürk
34,2025-05-03,Rizespor,2–0,Gaziantep FK,Mehmet Türkmen
34,2025-05-03,Galatasaray,4–1,Sivasspor,Ozan Ergün
34,2025-05-03,Hatayspor,2–4,Başakşehir,Ali Yılmaz
34,2025-05-04,Samsunspor,3–0,Eyüpspor,Muhammetali Metoğlu
34,2025-05-04,Adana Demirspor,1–2,Göztepe,Batuhan Kolak
34,2025-05-04,Fenerbahçe,0–1,Beşiktaş,Yasin Kol
34,2025-05-05,Kasımpaşa,1–1,Trabzonspor,Halil Umut Meler
,,,,,
35,2025-05-09,Başakşehir,1–4,Fenerbahçe,Burak Pakkan
35,2025-05-09,Gaziantep FK,0–1,Alanyaspor,Kadir Sağlam
35,2025-05-10,Eyüpspor,0–3,Kasımpaşa,Adnan Deniz Kayatepe
35,2025-05-10,Konyaspor,2–1,Rizespor,Ozan Ergün
35,2025-05-10,Trabzonspor,0–2,Galatasaray,Atilla Karaoğlan
35,2025-05-11,Sivasspor,0–0,BB Bodrumspor,Umit Öztürk
35,2025-05-11,Göztepe,1–1,Hatayspor,Abdullah Taşkınsoy
35,2025-05-11,Beşiktaş,4–1,Adana Demirspor,Çağdaş Altay
35,2025-05-12,Kayserispor,3–1,Antalyaspor,Arda Kardeşler
Wk,Date,Home,Score,Away,Referee
,,,,,
36,2025-05-17,Adana Demirspor,0–5,Hatayspor,Ömer Faruk Turtay
36,2025-05-18,Samsunspor,1–0,Sivasspor,Halil Umut Meler
36,2025-05-18,Rizespor,6–3,Göztepe,Oğuzhan Çakir
36,2025-05-18,Fenerbahçe,2–1,Eyüpspor,Ozan Ergün
36,2025-05-18,Alanyaspor,1–1,Beşiktaş,Mehmet Türkmen
36,2025-05-18,Antalyaspor,0–0,Gaziantep FK,Alper Akarsu
36,2025-05-18,Kasımpaşa,2–3,Başakşehir,Atilla Karaoğlan
36,2025-05-18,Galatasaray,3–0,Kayserispor,Ali Şansalan
36,2025-05-18,BB Bodrumspor,1–1,Trabzonspor,Çağdaş Altay
,,,,,
37,2025-05-24,Eyüpspor,2–1,Antalyaspor,Oğuzhan Aksu
37,2025-05-24,Göztepe,0–2,Galatasaray,Batuhan Kolak
37,2025-05-24,Gaziantep FK,2–2,Kasımpaşa,Fatih Tokail
37,2025-05-25,Konyaspor,1–2,Alanyaspor,Atilla Karaoğlan
37,2025-05-25,Kayserispor,1–1,BB Bodrumspor,Kadir Sağlam
37,2025-05-25,Beşiktaş,1–2,Rizespor,Halil Umut Meler
37,2025-05-25,Trabzonspor,2–2,Samsunspor,Ozan Ergün
37,2025-05-25,Başakşehir,2–3,Adana Demirspor,Gürcan Hasova
37,2025-05-26,Hatayspor,4–2,Fenerbahçe,Yiğit Arslan
,,,,,
38,2025-05-30,Galatasaray,2–0,Başakşehir,Abdullah Taşkınsoy
38,2025-05-30,Kasımpaşa,1–2,Göztepe,Sarper Barış Saka
38,2025-05-30,Antalyaspor,0–2,Trabzonspor,Ali Yılmaz
38,2025-05-31,Rizespor,5–2,Hatayspor,Alper Akarsu
38,2025-05-31,Fenerbahçe,2–1,Konyaspor,Oğuzhan Çakir
38,2025-05-31,Alanyaspor,2–0,Sivasspor,Kadir Sağlam
38,2025-05-31,Adana Demirspor,2–2,Gaziantep FK,Alpaslan Şen
38,2025-06-01,BB Bodrumspor,0–4,Beşiktaş,Cihan Aydın
38,2025-06-01,Samsunspor,2–1,Kayserispor,Atilla Karaoğlan
