Wk,Date,Home,Score,Away,Referee
1,2024-08-09,Galatasaray,2–1,Hatayspor,Turgut Doman
1,2024-08-10,Kasımpaşa,2–3,Konyaspor,Muhammetali Metoğlu
1,2024-08-10,Antalyaspor,0–0,Göztepe,Zorbay Küçük
1,2024-08-10,Fenerbahçe,1–0,Adana Demirspor,Atilla Karaoğlan
1,2024-08-11,Sivasspor,0–0,Trabzonspor,Cihan Aydın
1,2024-08-11,Samsunspor,0–2,Beşiktaş,Ali Şansalan
1,2024-08-11,Alanyaspor,1–1,Eyüpspor,Oğuzhan Çakir
1,2024-08-12,Rizespor,1–1,Başakşehir,Direnç Tonusluoğlu
1,2024-08-12,BB Bodrumspor,0–1,Gaziantep FK,Mehmet Türkmen
,,,,,
2,2024-08-16,Konyaspor,1–2,Galatasaray,Direnç Tonusluoğlu
2,2024-08-17,Kayserispor,1–2,Sivasspor,Turgut Doman
2,2024-08-17,Adana Demirspor,1–2,Rizespor,Cihan Aydın
2,2024-08-17,Göztepe,2–2,Fenerbahçe,Kadir Sağlam
2,2024-08-18,Başakşehir,4–2,Alanyaspor,Arda Kardeşler
2,2024-08-18,Gaziantep FK,0–1,Samsunspor,Emre Kargın
2,2024-08-18,Beşiktaş,4–2,Antalyaspor,Mehmet Türkmen
2,2024-08-19,Hatayspor,1–1,Kasımpaşa,Oğuzhan Çakir
2,2024-08-19,Eyüpspor,4–1,BB Bodrumspor,Halil Umut Meler
,,,,,
3,2024-08-23,Alanyaspor,1–1,Göztepe,Muhammetali Metoğlu
3,2024-08-24,Sivasspor,0–1,Eyüpspor,Zorbay Küçük
3,2024-08-24,BB Bodrumspor,3–1,Konyaspor,Çağdaş Altay
3,2024-08-25,Kasımpaşa,2–2,Adana Demirspor,Abdullah Taşkınsoy
3,2024-08-25,Rizespor,0–5,Fenerbahçe,Turgut Doman
3,2024-08-25,Antalyaspor,3–2,Hatayspor,Atilla Karaoğlan
,,,,,
4,2024-08-30,Fenerbahçe,3–0,Alanyaspor,Mehmet Türkmen
4,2024-08-31,Rizespor,0–1,Kasımpaşa,Ali Şansalan
4,2024-08-31,Konyaspor,0–0,Kayserispor,Emre Kargın
4,2024-08-31,Adana Demirspor,1–5,Galatasaray,Kadir Sağlam
4,2024-08-31,Göztepe,2–0,BB Bodrumspor,Abdullah Taşkınsoy
4,2024-09-01,Eyüpspor,0–0,Trabzonspor,Atilla Karaoğlan
4,2024-09-01,Başakşehir,5–2,Antalyaspor,Oğuzhan Çakir
4,2024-09-01,Hatayspor,0–3,Samsunspor,Cihan Aydın
Wk,Date,Home,Score,Away,Referee
4,2024-09-01,Beşiktaş,2–0,Sivasspor,Direnç Tonusluoğlu
,,,,,
5,2024-09-14,Samsunspor,0–1,Konyaspor,Oğuzhan Çakir
5,2024-09-14,Sivasspor,3–2,Gaziantep FK,Muhammetali Metoğlu
5,2024-09-14,Galatasaray,5–0,Rizespor,Arda Kardeşler
5,2024-09-14,BB Bodrumspor,0–1,Başakşehir,Zorbay Küçük
5,2024-09-15,Kasımpaşa,0–2,Fenerbahçe,Halil Umut Meler
5,2024-09-15,Kayserispor,2–2,Eyüpspor,Ömer Tolga Güldibi
5,2024-09-15,Trabzonspor,1–1,Beşiktaş,Ali Şansalan
5,2024-09-15,Alanyaspor,0–0,Hatayspor,Ozan Ergün
5,2024-09-16,Antalyaspor,2–1,Adana Demirspor,Yasin Kol
,,,,,
3,2024-09-17,Galatasaray,3–1,Gaziantep FK,Cihan Aydın
3,2024-09-18,Samsunspor,2–0,Başakşehir,Direnç Tonusluoğlu
3,2024-09-19,Trabzonspor,2–2,Kayserispor,Mehmet Türkmen
,,,,,
6,2024-09-20,Hatayspor,0–1,BB Bodrumspor,Umit Öztürk
6,2024-09-21,Konyaspor,0–0,Sivasspor,Yasin Kol
6,2024-09-21,Fenerbahçe,1–3,Galatasaray,Atilla Karaoğlan
6,2024-09-22,Rizespor,0–1,Samsunspor,Kadir Sağlam
6,2024-09-22,Kasımpaşa,0–0,Antalyaspor,Burak Pakkan
6,2024-09-22,Beşiktaş,2–1,Eyüpspor,Zorbay Küçük
6,2024-09-22,Adana Demirspor,0–2,Alanyaspor,Emre Kargın
6,2024-09-23,Gaziantep FK,0–0,Trabzonspor,Volkan Bayarslan
6,2024-09-23,Göztepe,3–0,Kayserispor,Ozan Ergün
,,,,,
7,2024-09-27,Sivasspor,1–2,Başakşehir,Çağdaş Altay
7,2024-09-28,Samsunspor,4–3,Göztepe,Mehmet Türkmen
7,2024-09-28,Alanyaspor,1–0,Rizespor,Abdullah Taşkınsoy
7,2024-09-28,Galatasaray,3–3,Kasımpaşa,Oğuzhan Çakir
7,2024-09-29,Eyüpspor,3–2,Gaziantep FK,Arda Kardeşler
7,2024-09-29,Trabzonspor,3–2,Konyaspor,Halil Umut Meler
7,2024-09-29,Antalyaspor,0–2,Fenerbahçe,Cihan Aydın
7,2024-09-29,BB Bodrumspor,3–1,Adana Demirspor,Turgut Doman
7,2024-09-30,Kayserispor,0–3,Beşiktaş,Atilla Karaoğlan
Wk,Date,Home,Score,Away,Referee
,,,,,
8,2024-10-04,Rizespor,2–1,Antalyaspor,Burak Pakkan
8,2024-10-05,Kasımpaşa,0–0,BB Bodrumspor,Direnç Tonusluoğlu
8,2024-10-05,Göztepe,3–2,Sivasspor,Ali Şansalan
8,2024-10-05,Başakşehir,1–1,Kayserispor,Yasin Kol
8,2024-10-05,Hatayspor,1–1,Trabzonspor,Kadir Sağlam
8,2024-10-06,Konyaspor,2–1,Eyüpspor,Erkan Özdamar
8,2024-10-06,Adana Demirspor,1–3,Samsunspor,Alper Akarsu
8,2024-10-06,Galatasaray,1–0,Alanyaspor,Mehmet Türkmen
8,2024-10-06,Gaziantep FK,1–1,Beşiktaş,Muhammetali Metoğlu
,,,,,
9,2024-10-19,Kayserispor,2–2,Gaziantep FK,Halil Umut Meler
9,2024-10-19,Trabzonspor,1–0,Başakşehir,Zorbay Küçük
9,2024-10-19,Antalyaspor,0–3,Galatasaray,Ali Şansalan
9,2024-10-19,Eyüpspor,1–0,Göztepe,Turgut Doman
9,2024-10-20,Sivasspor,3–2,Hatayspor,Mehmet Türkmen
9,2024-10-20,Beşiktaş,2–0,Konyaspor,Kadir Sağlam
9,2024-10-20,Samsunspor,2–2,Fenerbahçe,Muhammetali Metoğlu
9,2024-10-20,Alanyaspor,1–2,Kasımpaşa,Cihan Aydın
9,2024-10-21,BB Bodrumspor,0–1,Rizespor,Oğuzhan Çakir
,,,,,
10,2024-10-25,Adana Demirspor,2–4,Sivasspor,Atilla Karaoğlan
10,2024-10-26,Hatayspor,0–1,Kayserispor,Zorbay Küçük
10,2024-10-26,Kasımpaşa,1–4,Samsunspor,Çağdaş Altay
10,2024-10-26,Göztepe,2–1,Trabzonspor,Cihan Aydın
10,2024-10-27,Gaziantep FK,3–1,Konyaspor,Burak Pakkan
10,2024-10-27,Alanyaspor,1–2,Antalyaspor,Yasin Kol
10,2024-10-27,Fenerbahçe,2–0,BB Bodrumspor,Mehmet Türkmen
10,2024-10-28,Başakşehir,1–1,Eyüpspor,Abdullah Taşkınsoy
10,2024-10-28,Galatasaray,2–1,Beşiktaş,Arda Kardeşler
,,,,,
11,2024-11-01,Gaziantep FK,2–1,Göztepe,Kadir Sağlam
11,2024-11-02,Sivasspor,2–1,Rizespor,Cihan Aydın
11,2024-11-02,Kayserispor,0–0,Adana Demirspor,Muhammetali Metoğlu
11,2024-11-02,Beşiktaş,1–3,Kasımpaşa,Zorbay Küçük
Wk,Date,Home,Score,Away,Referee
11,2024-11-03,Konyaspor,3–2,Başakşehir,Emre Kargın
11,2024-11-03,Eyüpspor,2–0,Hatayspor,Yasin Kol
11,2024-11-03,BB Bodrumspor,0–0,Alanyaspor,Ali Şansalan
11,2024-11-03,Trabzonspor,2–3,Fenerbahçe,Oğuzhan Çakir
11,2024-11-04,Samsunspor,2–0,Antalyaspor,Direnç Tonusluoğlu
,,,,,
12,2024-11-08,Kasımpaşa,1–2,Kayserispor,Mehmet Türkmen
12,2024-11-09,Antalyaspor,3–2,BB Bodrumspor,Alper Akarsu
12,2024-11-09,Hatayspor,3–1,Gaziantep FK,Cihan Aydın
12,2024-11-09,Adana Demirspor,0–1,Eyüpspor,Direnç Tonusluoğlu
12,2024-11-09,Rizespor,3–1,Trabzonspor,Zorbay Küçük
12,2024-11-10,Göztepe,2–0,Konyaspor,Muhammetali Metoğlu
12,2024-11-10,Galatasaray,3–2,Samsunspor,Halil Umut Meler
12,2024-11-10,Başakşehir,0–0,Beşiktaş,Turgut Doman
12,2024-11-10,Fenerbahçe,4–0,Sivasspor,Kadir Sağlam
,,,,,
13,2024-11-23,Eyüpspor,1–2,Rizespor,Ali Şansalan
13,2024-11-23,Kayserispor,2–6,Fenerbahçe,Direnç Tonusluoğlu
13,2024-11-23,Gaziantep FK,3–0,Başakşehir,Ozan Ergün
13,2024-11-23,BB Bodrumspor,0–1,Galatasaray,Muhammetali Metoğlu
13,2024-11-24,Sivasspor,0–0,Kasımpaşa,Burak Pakkan
13,2024-11-24,Konyaspor,1–1,Hatayspor,Oğuzhan Çakir
13,2024-11-24,Samsunspor,1–1,Alanyaspor,Zorbay Küçük
13,2024-11-24,Beşiktaş,2–4,Göztepe,Alper Akarsu
13,2024-11-25,Trabzonspor,5–0,Adana Demirspor,Mehmet Türkmen
,,,,,
14,2024-11-29,Antalyaspor,2–1,Sivasspor,Yasin Kol
14,2024-11-30,Samsunspor,4–0,BB Bodrumspor,Ozan Ergün
14,2024-11-30,Adana Demirspor,0–1,Konyaspor,Atilla Karaoğlan
14,2024-11-30,Başakşehir,4–1,Göztepe,Çağdaş Altay
14,2024-11-30,Alanyaspor,2–1,Trabzonspor,Burak Pakkan
14,2024-12-01,Rizespor,3–0,Kayserispor,Emre Kargın
14,2024-12-01,Galatasaray,2–2,Eyüpspor,Oğuzhan Çakir
14,2024-12-02,Hatayspor,1–1,Beşiktaş,Kadir Sağlam
14,2024-12-02,Fenerbahçe,3–1,Gaziantep FK,Alper Akarsu
Wk,Date,Home,Score,Away,Referee
,,,,,
15,2024-12-06,Trabzonspor,2–2,Kasımpaşa,Zorbay Küçük
15,2024-12-07,Konyaspor,1–1,Antalyaspor,Halil Umut Meler
15,2024-12-07,Göztepe,3–1,Adana Demirspor,Ali Şansalan
